"country","iso3c","region","income","year","BG.GSR.NFSV.GD.ZS","BM.GSR.GNFS.CD","BM.GSR.INSF.ZS","BM.GSR.TOTL.CD","BM.GSR.TRAN.ZS","BM.GSR.TRVL.ZS","BM.KLT.DINV.CD.WD","BM.KLT.DINV.WD.GD.ZS","BN.GSR.GNFS.CD","BN.KLT.DINV.CD","BN.KLT.PTXL.CD","BX.GSR.GNFS.CD","BX.GSR.INSF.ZS","BX.GSR.TOTL.CD","BX.GSR.TRAN.ZS","BX.GSR.TRVL.ZS","BX.KLT.DINV.CD.WD","BX.KLT.DINV.WD.GD.ZS","DT.DOD.DSTC.XP.ZS","DT.ODA.ODAT.MP.ZS","DT.TDS.DECT.EX.ZS","DT.TDS.DPPF.XP.ZS","DT.TDS.DPPG.XP.ZS","FP.CPI.TOTL.ZG","GC.NFN.TOTL.CN","GC.NFN.TOTL.GD.ZS","GC.TAX.GSRV.CN","GC.TAX.GSRV.RV.ZS","GC.TAX.GSRV.VA.ZS","GC.XPN.GSRV.CN","GC.XPN.GSRV.ZS","IQ.SPI.PIL2","LP.LPI.LOGS.XQ","NE.EXP.GNFS.CD","NE.EXP.GNFS.CN","NE.EXP.GNFS.KD","NE.EXP.GNFS.KD.ZG","NE.EXP.GNFS.KN","NE.EXP.GNFS.ZS","NE.IMP.GNFS.CD","NE.IMP.GNFS.CN","NE.IMP.GNFS.KD","NE.IMP.GNFS.KD.ZG","NE.IMP.GNFS.KN","NE.IMP.GNFS.ZS","NE.RSB.GNFS.CD","NE.RSB.GNFS.CN","NE.RSB.GNFS.KN","NE.RSB.GNFS.ZS","NV.SRV.EMPL.KD","NV.SRV.TOTL.CD","NV.SRV.TOTL.CN","NV.SRV.TOTL.KD","NV.SRV.TOTL.KD.ZG","NV.SRV.TOTL.KN","NV.SRV.TOTL.ZS","NY.GDP.DEFL.KD.ZG","NY.GDP.DEFL.KD.ZG.AD"
"Afghanistan","AFG","South Asia","Low income",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7121023720065,NA,NA,NA,NA,NA,NA,NA,60,2,2664599570.76697,2.35897e+11,NA,18.6125162428067,2.04469e+11,18.3800424016375,7901784705.74946,6.99545e+11,NA,36.7070623063138,5.52302e+11,54.5054272070161,-5237185134.98249,-4.63648e+11,-3.47833e+11,-36.1253848053787,2930.15071218144,6530995142.88942,5.78189e+11,6382914856.91904,-6.48174850425876,4.60482e+11,45.0499087998591,9.40623933931322,9.40623933931322
"Albania","ALB","Europe & Central Asia","Upper middle income",2022,39.6075555959055,9016395289.60554,3.25498696493257,9973481497.84648,12.593885551242,73.7381526323491,191511664.057224,1.00704199675918,-1959879935.13068,-1249848499.57359,601028649.497295,7056503560.71335,0.778982423026316,7682391863.23188,10.5522654008366,58.9119093782683,1441381891.41694,7.57934042905775,16.6991221333027,3.17609617634876,9.18516585280181,6.02271781675756,4.99083803229352,6.7252027153006,91744280000,4.26768931781499,282781530000,52.2945642515302,18.9749264509781,47719940000,8.22051949569365,69.7666666666667,2.3,7073859741.47037,799640897300,5197061339.25624,17.0424879813874,664492433200,37.1970755614977,9033376424.81865,1021147929700,7080833265.31584,11.5172392295421,904576546700,47.5009680329889,-1959516683.34827,-221507032400,-240084113500,-10.3038924714912,13294.7918505266,8804819392.83503,995311461800,6582969802.25819,7.36986342366322,889133695200,46.2991272417493,9.86160992016288,9.86160992016288
"Algeria","DZA","Middle East & North Africa","Upper middle income",2022,5.06967264843543,46595142587.2769,3.12954287403528,52779287310.6244,39.8852505686787,5.20963420994501,84586241.1726023,0.0374969520610289,22630482847.0229,-157209788.407522,NA,69225625434.2999,10.5085080841627,70199124677.573,20.9314335788975,4.98562372554673,241796029.580125,0.107187812155079,2.48461787523859,0.409926716635639,0.426551111107604,0.255629393742278,0.17848546712724,9.26551551551553,NA,NA,NA,NA,NA,NA,NA,57.8333333333333,2.2,69460098852.0897,9.862985e+12,35079226621.4416,-0.100000000000591,1359087707626.18,30.7915561763341,46015346669.8381,6.533948e+12,39334527117.3157,-0.200000000000216,1786712734989.88,20.3985331920556,23444752182.2515,3.329037e+12,-427625027363.7,10.3930229842786,16597.8029293829,96427806688.2296,1.3692264e+13,110979345266.06,4.28952383498033,4840370502186.21,42.7463000437695,22.9203055988744,22.9203055988744
"American Samoa","ASM","East Asia & Pacific","High income",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09e+08,4.09e+08,293259259.259259,3.06406685236769,3.7e+08,46.9575200918485,6.77e+08,6.77e+08,527737179.48718,-12.5706214689266,6.19e+08,77.7267508610792,-2.68e+08,-2.68e+08,-2.49e+08,-30.7692307692308,NA,NA,NA,NA,NA,NA,NA,14.1527648578811,14.1527648578811
"Andorra","AND","Europe & Central Asia","High income",2022,94.434915223252,2439653236.73165,7.13757530007107,2632195158.11687,17.4170347316349,27.2176315985616,143377845.361348,4.24118054092672,296200061.152847,-450603575.937596,1145522485.35768,2735853297.88449,2.41478740418172,3073670567.4222,1.49720220967287,86.1822501424763,593981421.298943,17.5702350620217,NA,NA,NA,NA,NA,NA,29789334.76,0.92792704629771,218341185.1,23.1479683046206,7.61301203277545,117491644.2,NA,55.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643362004.33013,2510200000,2479224694.5167,7.92166004691776,2203620000,78.1918257115356,4.23665226454663,4.23665226454663
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2022,8.67227678043727,28564199364.7171,5.93105296499728,37437250597.9513,32.1092182323334,14.6723881925328,41066362.25,0.0312976685514079,21556000869.8593,6639719014.34389,-922852409.411998,50120200234.5765,NA,50297120491.8727,23.4965537798945,23.9166473522037,-6598652652.09389,-5.02899288556058,8.33564791304,0.25624710141531,30.3800197632965,17.467268622703,17.1920702597622,21.3552901320822,3138713242000,4.78563427583366,1788670226000,10.4821834546595,3.46501930844396,5200816288000,NA,60.7666666666667,2.3,46181518626.076,23083735889140.8,13671041132.293,4.37270081192213,2107431443153.67,35.1960530217063,26319489922.7596,13155742214393.9,19031954107.1208,22.387763479855,2933832041164.87,20.0587202496772,19862028703.3164,9927993674746.9,-826400598011.2,15.1373327720292,10341.8510922223,57436153281.0651,28709341578033.1,53263507038.1267,5.94981263074705,8210727216644.56,43.7734824749089,18.1217716217607,18.1217716217607
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2022,82.0232074535738,1227402209.62963,10.7947391170532,1336097633.33333,22.1324476065917,14.2180632248981,17338565.5555555,0.928901488770229,-116129320.740741,-303828565.555555,45744597.037037,1111272888.51851,6.0370747849095,1127276171.1111,8.48541899116774,80.5318036036157,305804215.555555,16.3832463643885,NA,NA,NA,NA,NA,7.53107834634288,NA,NA,NA,NA,NA,NA,NA,26.9,2.9,1021455555.55556,2757930000,NA,NA,NA,54.7237649635992,1175559259.25926,3174010000,NA,NA,NA,62.9797628047534,-154103703.703704,-416080000,NA,-8.25599784115419,NA,1276885185.18519,3447590000,1106180508.46856,11.6552045868384,2967840000,68.4082282185752,6.78027470784266,6.78027470784266
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2022,5.61623596210779,97545345842.839,4.16846172969316,112945822867.397,30.033608894177,26.2675884942033,2089836583.05669,0.329630467537955,5641696321.91141,-13116250814.2436,7462623327.7254,103187042164.75,1.75378283193521,107010965951.779,15.0709132494149,24.0951200637198,15206087397.3003,2.3984601182853,46.1166587191053,0.341180876420954,31.6825901735881,26.4162340007016,7.47671216584039,72.430757531824,391427855700,0.472681609433818,4328838025000,29.1858814242154,6.7323894239108,647298159500,3.57492849877465,80.1333333333333,2.7,103224756800.251,13482856446600,71160809397.8913,4.55692873309846,151053231100,16.2816677253254,96991607940.8038,12668704358600,76797049470.735,17.5358183246673,193219440500,15.2985115353002,6233148859.44731,814152088000,-42166209400,0.983156190025194,23729.9544339609,339403077627.252,44331642088900,340150605437.101,5.97615605030815,373374439400,53.5341356683759,68.9938267692314,68.9938267692314
"Armenia","ARM","Europe & Central Asia","Upper middle income",2022,36.6528432864043,10439362279.393,8.13532666305539,11940119525.7885,31.4530791647447,48.2136490782181,49744937.6177012,0.254925671520246,-99882952.469307,-925913971.648405,1364145793.25629,10339479326.9237,6.7926604774739,11351594007.4299,14.8341128566783,54.6330087057118,975658909.266107,4.99991586140552,28.5600154293575,2.52369282440132,17.5363685258393,4.29936141131793,3.68238895459441,8.64091108973855,380394132300,4.47446211113131,1094215006000,54.3984328494735,15.8795794369494,216556680800,12.0366715887354,85.4333333333333,2.6,10063294925.058,4384275700000,6973017223.98577,59.8999999978197,3168296075400,51.5709203656497,10207068193.8164,4446913400000,7742026778.65442,34.9999999988657,2975581285400,52.3077088478584,-143773268.758464,-62637700000,192714790000,-0.736788482208693,13429.5092444583,10852671287.9014,4728183300000,8059237154.8752,17.8000000017215,3421335167100,55.6162023383919,7.98587852828175,7.98587852828175
"Aruba","ABW","Latin America & Caribbean","High income",2022,111.482009802346,2428941212.84215,5.78763518459749,2654991681.35204,15.1933044080816,36.3224358072006,123456004.482073,3.71404107235361,423839378.911453,-124694278.134545,321957006.324953,2852780591.7536,1.21226255488108,2956071608.91971,3.74650673846432,86.9725120772532,248150282.616618,7.4653342753216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686048557.67537,4808026918.23891,NA,NA,NA,80.8068810212559,2653499093.04325,4749763376.54741,NA,NA,NA,79.8276653967588,32549464.6321227,58263541.6914997,NA,0.979215624497062,NA,2626106866.49693,4700731291.0295,2337916854.26622,8.52426891051614,4081766902.17049,79.0035997315605,4.28905985034554,4.28905985034554
"Australia","AUS","East Asia & Pacific","High income",2022,7.82481458499816,379981045953.32,3.42423478461056,521119827406.908,29.1469763985018,24.2094720821042,127349650740.622,7.51047314791849,86008712990.8508,58640230943.9761,-79208279987.7068,465989758944.171,7.54198975250733,528923808088.745,7.06981726674986,45.9607827370624,68709419796.6458,4.05215286724898,NA,NA,NA,NA,NA,6.59409671341846,1.9737e+10,0.844579704240914,1.10605e+11,17.7852424536736,5.2145531315842,6.9368e+10,10.7614858942437,94,3.9,431732710875.763,5.95011e+11,295235049708.727,-0.33455445710176,5.9581e+11,25.4615298373659,343078219088.328,4.72828e+11,323598987302.152,7.33681827431826,5.06355e+11,20.2331120432093,88654491787.4347,1.22183e+11,NA,5.22841779415654,103888.932342877,1074396691900.19,1.480726e+12,1118003568586.8,5.08305715429147,1652051383689.72,63.3627768729711,7.1995443407201,7.1995443407201
"Austria","AUT","Europe & Central Asia","High income",2022,33.5996165578943,294323502211.391,3.85037263357091,334479810225.23,29.2102587386198,15.7708271579684,14413866857.3592,3.04590408098417,-2519474101.89408,112362400.324623,857332578.923152,291804028109.497,4.47870878909726,334091432636.878,26.5194897296624,23.790088421673,14301504457.0346,3.0221599256451,NA,NA,NA,NA,NA,8.5468699318845,13124850000,2.92064314271683,52095500000,25.8721955109701,13.1316788279247,14202050000,6.6724461128581,89.5333333333333,4,290687124329.312,276043398000,256962745896.753,9.44574955082808,235489978000,61.4273121186873,294117763031.398,279301214000,244632643088.804,6.93109063316706,224131084000,62.1522665342146,-3430638702.08562,-3257816000,11358894000,-0.724954415527277,85187.4255813939,295459947234.102,280575784000,267504870459.738,7.05166551279935,265603393000,62.4358937094137,5.02343156333271,4.75477807605142
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2022,16.2834930549284,21274432000,3.01951677841286,28303394000,24.1123105912315,11.495868241141,172210000,0.218519892485559,25999657000,4646691000,1793085000,47274089000,0.71918637453223,48816073000,54.5996136474909,16.2463025859648,-4474481000,-5.67773710614177,1.03716863910786,0.171347540491536,3.28802752077169,2.92152381204445,2.9024353120334,13.8522590144267,8189225800,6.11260786712517,8776997000,16.6312726964036,7.42628246620012,13117534900,42.5541137461921,69.3333333333333,NA,47274117647.0588,8.0366e+10,NA,NA,NA,59.9868480668076,21274411764.7059,36166500000,NA,NA,NA,26.9954251873703,25999705882.3529,44199500000,NA,32.9914228794374,11507.7957444518,25274705882.3529,4.2967e+10,26867143976.9434,9.72524689468048,9819054600,32.0714593346256,37.2707211293747,37.2707211293747
"Bahamas, The","BHS","Latin America & Caribbean","High income",2022,47.3089936781131,5842673853.30861,13.7672255257655,6771358755.95714,22.1697805835701,8.6408540638314,214483758.02,1.5434039348627,-417261475.674218,-316430192.37875,-99839000,5425412377.63439,NA,5470918500.17439,2.28854288206703,91.5594792745426,530913950.39875,3.82040434055862,NA,NA,NA,NA,NA,5.60540633583044,224964810,1.61882454953658,1488588337,57.1293087851086,11.9265488130243,638595628,20.583732250955,27.6666666666667,2.5,5163900000,5163900000,4314140983.38046,42.654028436019,4424700000,37.1589142824247,5395300000,5395300000,3759378537.89403,-0.945734081828746,3917200000,38.8240458234989,-231400000,-231400000,507500000,-1.6651315410742,55264.7811994639,11160500000,11160500000,10113196104.3603,12.4901384992987,10266300000,80.3098555063036,4.12416966285063,4.12416966285063
"Bahrain","BHR","Middle East & North Africa","High income",2022,54.894357086101,33066489361.7021,38.6426162053541,39173936170.2127,34.9417478050765,8.80600942561186,1947872340.42553,4.19274250241008,11513031914.8936,-3457446.80851082,-501063829.787242,44579521276.5957,36.2396006655575,48724202127.6595,11.0926234054354,28.2325753374007,1951329787.23404,4.20018456310523,NA,NA,NA,NA,NA,3.62574104304482,NA,NA,NA,NA,NA,NA,NA,73.7,3.3,44581914893.617,16762800000,37147999555.7915,9.16183012330711,14404556600,95.9613654006004,33068882978.7234,12433900000,29693884553.2369,11.8886793343933,10660921200,71.1798757519344,11513031914.8936,4328900000,3743635400,24.781489648666,40839.8256389666,22876542553.1915,8601580000,22332761894.6414,6.21216267175271,7801910000,49.2411387955769,7.13488879900781,7.13488879900781
"Bangladesh","BGD","South Asia","Lower middle income",2022,4.43872669470757,93634992762.0944,6.49406948205671,96850113683.3775,67.9026801153784,10.8772083999598,31598137.8682885,0.00686719446149319,-33568494214.0901,-1603289892.55869,323222901.943948,60066498548.0042,2.41254787712627,60494519966.4452,17.5403184719236,5.10823371365057,1601074338.25183,0.347960024540439,30.6309894024751,5.37406905809425,11.2392162165619,5.94458952677812,5.6232137834747,7.69695437176898,NA,NA,NA,NA,NA,NA,NA,61.6666666666667,2.7,59275206086.406,5.116455e+12,46780850864.3021,29.3925550968107,3.909948e+12,12.8822264348985,96157127887.3964,8.29999e+12,78739971067.3165,31.1830863627875,6.342777e+12,20.897740835675,-36881921800.9904,-3.183535e+12,-2.432829e+12,-8.01551440077645,5765.79617929467,234842391905.645,2.0270879e+13,157537177530.748,6.25665320244109,1.5036464e+13,51.0380826788136,5.04902187883131,5.04902187883131
"Barbados","BRB","Latin America & Caribbean","High income",2022,NA,NA,NA,NA,NA,NA,1.5e+07,0.217868088134904,NA,NA,NA,NA,NA,NA,NA,NA,2e+08,2.90490784179872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38375.8823021092,5212050000,10424100000,4373999010.86776,18.3682196713932,10518200000,75.7026245842351,-1.2507343562654,-1.2507343562654
"Belarus","BLR","Europe & Central Asia","Upper middle income",2022,19.8685683337544,42437568374.43,NA,46738703213.82,NA,NA,180198867.55,0.244254053645359,4686035287.81,-1426218875.83,523959908.07,47123603662.24,NA,48413827335.64,NA,NA,1606417743.38,2.17745011943276,20.9530614666615,0.0375459100149292,14.0645147381013,7.39753245032854,7.36035125047172,15.209675274081,2522225116,1.30185408147991,15711021950,29.0289212848521,9.98292145076535,7257570824,13.2513255702128,87.1333333333333,2.6,46516126575.5303,1.22156e+11,31645377151.9404,-21.0497307323432,1.22156e+11,63.0511868938428,42031948516.812,110380100000,32397993188.1876,-18.1504411888176,110380100000,56.973020682251,4484178058.71825,11775900000,11775900000,6.07816621159176,9948.52652518392,35561517078.5576,93388100000,27758388168.787,-4.80011374145816,93388100000,48.2025487635555,14.8848623635367,14.8848623635367
"Belgium","BEL","Europe & Central Asia","High income",2022,47.7510129042719,570433423956.616,7.65957008138065,639867442929.533,20.8517997728548,13.7097916466748,34254787702.7463,5.79523119469757,-12547518452.5432,21118313600.5955,-666700888.853115,557883833891.086,7.91008517734789,635323491685.161,21.8629054892364,6.15627476959799,13136474102.1507,2.22243107053374,NA,NA,NA,NA,NA,9.597511728725,3426900000,0.61051923084803,53398500000,25.4734910825965,10.6325086735035,6.335e+09,2.84016399873571,86.9333333333333,4.2,558111144796.111,529995600000,467043878624.463,3.05111415929372,433936700000,94.4213446744405,571920929941.442,543109700000,457090457451.42,3.47829121944936,421000600000,96.7576866293456,-13809785145.3307,-13114099999.9999,12936100000,-2.33634195490505,94095.6852798505,410631577720.819,389945500000,370983584866.439,3.57479211013232,3.63912e+11,69.470724775351,6.6990376118661,6.84397581715184
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2022,42.19946168652,1573571150.24019,7.71165238821043,1718203469.88002,51.0592223004224,17.2455975689401,1200408.79,0.0421698501936175,-204514136.129337,-139707558.830593,593.112906394258,1369057014.11085,1.27427735818687,1379756951.78336,3.95923882714368,70.5398204899069,140907967.620593,4.95003696669658,0.715053472805337,1.22295845782805,5.57148974684561,5.25143337791105,5.20291173798495,6.27689319447544,NA,NA,NA,NA,NA,NA,NA,64.8666666666667,NA,1496710050,2993420100,1260964385.73374,12.7968094946364,2582248900,52.5787874243921,1573075200,3146150400,1323710013.48884,10.2070360806308,2775045900,55.2614626616446,-76365150,-152730300,-192797000,-2.68267523725241,14732.5991348272,1753663050,3507326100,1536561055.87094,10.4683727592038,3098122300,61.6054370183197,7.28685491123275,7.28685491123275
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2022,8.56260874437909,5295687243.63988,1.89683846976962,5734215057.0114,67.2960640813773,7.0530846387251,46569698.0988049,0.267251738803056,-1024472573.58803,-329419204.124988,94976091.2048849,4271214670.05185,3.93930042282964,4584341485.64333,30.2611003619926,43.5752748526626,375988902.223793,2.15770537478617,36.1233997333339,14.7963212475253,11.2720641300019,10.2682374856711,9.93338586416617,1.35077863583527,NA,NA,NA,NA,NA,NA,NA,69.4,3,3627155581.76734,2.2594e+12,3768869945.46579,14.4732896924201,2.2282e+12,20.8153300474458,4106516764.69897,2.558e+12,4173801040.04641,-4.60047705889988,2.4676e+12,23.5662628402967,-479361182.931631,-2.986e+11,-2.394e+11,-2.75093279285089,3407.85445538091,8171454645.81479,5.0901e+12,7941148688.16416,6.00560288361309,4.6949e+12,46.8939149661431,4.13899447875367,4.13899447875367
"Bermuda","BMU","North America","High income",2022,30.5232923362384,2235356720.49132,18.214328606188,2410531842.88296,25.1259879188718,24.8949710640026,20601097,0.261621796049747,-809905535.635797,14707318.3616657,-36315964.040081,1425451184.85552,21.7012850336936,3767622622.42194,2.4003640431011,28.3262642015175,5893778.6383343,0.0748475167550859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3960723000,3960723000,3383998288.58192,9.82059156295459,3397300000,50.2988488872967,1960593000,1960593000,1566201977.26807,8.57233704292528,1707300000,24.898376139026,2000130000,2000130000,1.69e+09,25.4004727482706,NA,7132730000,7132730000,6418425260.75176,7.21782015804639,6013290000,90.5814691973883,1.44579348544707,1.44579348544707
"Bhutan","BTN","South Asia","Lower middle income",2022,7.99195920205781,1581323680.0321,8.71568234448794,1767144276.65962,39.7387502694111,18.4865175935224,NA,NA,-789981472.512695,-8402097.14562732,38673327.8568439,791342207.519414,66.8609136310116,815675848.489586,18.2473648427667,1.08673324588385,8402097.14562732,0.289904655137253,0.675636039758306,11.0461332115353,16.1948695115357,15.894259899943,15.8391334669571,5.6391667139637,NA,NA,NA,NA,NA,NA,NA,64.0333333333333,2.6,739014454.021463,58089855000,648799323.118149,-9.14277042244328,44768644500,25.4988399587876,1741034283.90625,136853113700,1299039363.17149,17.0142684021794,92816549200,60.0723765638263,-1002019829.88478,-78763258700,-48047904700,-34.5735366050386,9773.19440867239,1483799697.90785,116633320000,1440742975.93469,6.81982159519706,95577803300,51.196794354919,5.79485516979783,5.79485516979783
